chunker,question_id,expected_source,rank,source,store_score,cosine_similarity,chunk_length,latency_ms,query_embedding_dimension,query_embedding_first_8,query_vector_shape,chunk_vector_shape,text_preview
token,q1,ftc_rental_listing_scams.html,1,ftc_rental_listing_scams.html,0.574532,0.476903,1161,13.37,384,"[0.045439, -0.050476, -0.049581, 0.109286, 0.023538, 0.06002, 0.00361, 0.038027]",[384],[384],"you’ve agreed to rent a place, a landlord doesn’t need your Social Security number, credit score, or other sensitive information. And most landlords normally pull your credit score themselves — they don’t tell you to get it for them. Listen"
token,q1,ftc_rental_listing_scams.html,2,california_tenants_2026.pdf,0.567857,0.596998,1048,13.37,384,"[0.045439, -0.050476, -0.049581, 0.109286, 0.023538, 0.06002, 0.00361, 0.038027]",[384],[384],"the cost of obtaining information about you, such as checking your personal references and obtaining your credit report (see pages 1 7-18). The application screening fee is not part of the security deposit and is not refundable as part of t"
token,q1,ftc_rental_listing_scams.html,3,california_tenants_2026.pdf,0.564118,0.593051,1177,13.37,384,"[0.045439, -0.050476, -0.049581, 0.109286, 0.023538, 0.06002, 0.00361, 0.038027]",[384],[384],"or name for any other deposits or charges, the law considers them all to be part of the security deposit and limited to an amount equal to one month’s rent.142 Only small landlords can charge more for a security deposit. Small landlords can"
token,q1,ftc_rental_listing_scams.html,4,ftc_rental_listing_scams.html,0.557054,0.455547,1082,13.37,384,"[0.045439, -0.050476, -0.049581, 0.109286, 0.023538, 0.06002, 0.00361, 0.038027]",[384],[384],"the ad you found may be a scam. Scammers create listings for places that aren’t for rent or don’t exist. The fake ads might offer surprisingly low rent or amazing amenities. But when you ask to see the rental, the fake owner will usually cl"
token,q1,ftc_rental_listing_scams.html,5,cfpb_tenant_background_market_report.pdf,0.553048,0.528897,1064,13.37,384,"[0.045439, -0.050476, -0.049581, 0.109286, 0.023538, 0.06002, 0.00361, 0.038027]",[384],[384],"for the reports I run?,” https://fabcogroup.com/faqs/. In contrast, another company’s website markets an “applicant pays” solution to landlords: Tenant Verification Services, “Reports are FREE when you choose applicant pays upon ordering. C"
token,q2,california_tenants_2026.pdf,1,california_tenants_2026.pdf,0.798631,0.662362,1119,12.6,384,"[0.125766, -0.025051, -0.012115, 0.047433, -0.006981, 0.030006, -0.005548, -0.080366]",[384],[384],"all landlords charge tenants a security deposit. The security deposit may be called last month’s rent, security deposit, pet deposit, key fee, or cleaning fee. The security deposit can even be a combination of fees. No matter what these pay"
token,q2,california_tenants_2026.pdf,2,california_tenants_2026.pdf,0.783215,0.646456,1177,12.6,384,"[0.125766, -0.025051, -0.012115, 0.047433, -0.006981, 0.030006, -0.005548, -0.080366]",[384],[384],"or name for any other deposits or charges, the law considers them all to be part of the security deposit and limited to an amount equal to one month’s rent.142 Only small landlords can charge more for a security deposit. Small landlords can"
token,q2,california_tenants_2026.pdf,3,california_tenants_2026.pdf,0.747546,0.62616,1108,12.6,384,"[0.125766, -0.025051, -0.012115, 0.047433, -0.006981, 0.030006, -0.005548, -0.080366]",[384],[384],"the limits on security deposits, page 88). Local rent stabilization ordinances may also limit or prohibit increases in security deposits. The landlord must give you proper advance written notice of any increase in the security deposit (see "
token,q2,california_tenants_2026.pdf,4,california_tenants_2026.pdf,0.746367,0.673643,1197,12.6,384,"[0.125766, -0.025051, -0.012115, 0.047433, -0.006981, 0.030006, -0.005548, -0.080366]",[384],[384],the service member a written statement on or before the date the lease is signed which explains the reason(s) why a higher security deposit is being charged as well as the amount of the security deposit. The additional amount of the securit
token,q2,california_tenants_2026.pdf,5,california_tenants_2026.pdf,0.737782,0.627403,1088,12.6,384,"[0.125766, -0.025051, -0.012115, 0.047433, -0.006981, 0.030006, -0.005548, -0.080366]",[384],[384],"rent and the application screening fee are not part of the security deposit. • Suppose the landlord requires you to pay $1,000 security deposit (the maximum allowed by law for an unfurnished unit when the rent is $1,000). The landlord canno"
token,q3,hud_rental_screening_guidance.pdf,1,hud_rental_screening_guidance.pdf,0.828425,0.779636,1079,10.79,384,"[-0.013543, 0.057094, -0.029385, 0.0459, 0.03562, 0.047089, -0.036552, -0.143655]",[384],[384],"see, e.g., also Hepburn, Renee Louis & Matthew Desmond, Racial and Gender Disparities Among Evicted Americans, 7 SOC. SCI. 649, 658 (2020). April 29, 2024 20 groups bearing even higher disparities.106 Evictions are filed against adults livi"
token,q3,hud_rental_screening_guidance.pdf,2,hud_rental_screening_guidance.pdf,0.792697,0.65735,984,10.79,384,"[-0.013543, 0.057094, -0.029385, 0.0459, 0.03562, 0.047089, -0.036552, -0.143655]",[384],[384],evictions are notably unreliable: 22% of the eviction records evaluated in a large study contained ambiguous information on how the case was resolved or falsely represented a tenant’s eviction history.104 Eviction disproportionately affects
token,q3,hud_rental_screening_guidance.pdf,3,hud_rental_screening_guidance.pdf,0.784372,0.662168,1211,10.79,384,"[-0.013543, 0.057094, -0.029385, 0.0459, 0.03562, 0.047089, -0.036552, -0.143655]",[384],[384],"chance afterwards to have the record disregarded and corrections made (as discussed in Sections V.A.2 and V.B.5 above). Note that under the Fair Credit Reporting Act, tenant screening companies must include existing disposition information "
token,q3,hud_rental_screening_guidance.pdf,4,hud_rental_screening_guidance.pdf,0.769398,0.658011,944,10.79,384,"[-0.013543, 0.057094, -0.029385, 0.0459, 0.03562, 0.047089, -0.036552, -0.143655]",[384],[384],"an applicant who has since begun receiving rental assistance (e.g. from a government agency) will pay rent on time. In certain circumstances, it would be particularly problematic to hold a past eviction against a tenant, for example an evic"
token,q3,hud_rental_screening_guidance.pdf,5,hud_rental_screening_guidance.pdf,0.751671,0.675653,1242,10.79,384,"[-0.013543, 0.057094, -0.029385, 0.0459, 0.03562, 0.047089, -0.036552, -0.143655]",[384],[384],"For example, poor credit could be caused by a gap between a loss of employment income and receipt of disability benefits. Having no credit history or limited credit history (i.e., an absence of credit history, negative or positive) is even "
token,q4,cfpb_tenant_background_consumer_snapshot.pdf,1,cfpb_tenant_background_consumer_snapshot.pdf,0.807866,0.806585,1107,12.06,384,"[0.04859, 0.020692, 0.01629, 0.06641, 0.014746, 0.044791, -0.066951, -0.032521]",[384],[384],"2 CONSUMER FINANCIAL PROTECTION BUREAU Executive summary Renting a home is increasingly costly and challenging for many.1 Landlords often use a prospective renter’s application fee to purchase a tenant screening report, also known as a tena"
token,q4,cfpb_tenant_background_consumer_snapshot.pdf,2,cfpb_tenant_background_consumer_snapshot.pdf,0.787407,0.77516,970,12.06,384,"[0.04859, 0.020692, 0.01629, 0.06641, 0.014746, 0.044791, -0.066951, -0.032521]",[384],[384],"NY: Social Science Research Network (Sept . 9, 2009), http://papers.ssrn.com/abstract=1503043 ; Yong Liu et al., Relationships Between Housing and Food Insecurity, Frequent Mental Distress, and In sufficient Sleep Among Adults in 12 U.S. St"
token,q4,cfpb_tenant_background_consumer_snapshot.pdf,3,cfpb_tenant_background_consumer_snapshot.pdf,0.76695,0.783266,1158,12.06,384,"[0.04859, 0.020692, 0.01629, 0.06641, 0.014746, 0.044791, -0.066951, -0.032521]",[384],[384],"screening complaints”).7 Tenant screening is not currently a product option on the CFPB’s consumer complaint form.8 Therefore, for this report, we define tenant screening complaints as (1) consumer and credit reporting complaints submitted "
token,q4,cfpb_tenant_background_consumer_snapshot.pdf,4,cfpb_tenant_background_consumer_snapshot.pdf,0.754781,0.687739,978,12.06,384,"[0.04859, 0.020692, 0.01629, 0.06641, 0.014746, 0.044791, -0.066951, -0.032521]",[384],[384],"See Disclosure of Consumer Complaint Narrative Data, 80 FR 15572 (Mar. 24, 2015), https://www.feder a lregister.gov/documents/2015/03/24/2015 -06722/disclosure -of-consumercomplaint- narrative -data. 6 CONSUMER FINANCIAL PROTECTION BUREAU h"
token,q4,cfpb_tenant_background_consumer_snapshot.pdf,5,cfpb_tenant_background_consumer_snapshot.pdf,0.751513,0.706348,823,12.06,384,"[0.04859, 0.020692, 0.01629, 0.06641, 0.014746, 0.044791, -0.066951, -0.032521]",[384],[384],"1: TENANT SCREENING COMPLAINTS BY MONTH , JAN. 2019 TO SEPT. 2022 2019 2020 2021 2022 0 200 400 600 800 1,000 FIG URE 2: TENANT SCREENING COMPLAINTS BY ISSUES, JAN. 2019 TO SEPT. 2022 10 See, e.g., Consumer Fin. Prot. Bureau, Annual report "
token,q5,ftc_rental_scams_data_spotlight.html,1,ftc_rental_scams_data_spotlight.html,0.751294,0.640694,1074,11.88,384,"[0.05038, -0.073534, -0.032452, 0.126088, 0.005646, 0.1141, -0.001031, 0.068035]",[384],[384],narratives consistent with likely rental scams. These figures are based on fraud reports to the Consumer Sentinel Network filed from January 2020 through June 2025 that were identified as rental scams. The median reported loss amount during
token,q5,ftc_rental_scams_data_spotlight.html,2,ftc_rental_scams_data_spotlight.html,0.717672,0.712239,1309,11.88,384,"[0.05038, -0.073534, -0.032452, 0.126088, 0.005646, 0.1141, -0.001031, 0.068035]",[384],[384],Cooperation Agreements Federal Register Notices Reports Public Comments Studies Testimony Policy Statements International Office of Technology Blog Advice and Guidance Show/hide Advice and Guidance menu items Consumer Advice Military Consum
token,q5,ftc_rental_scams_data_spotlight.html,3,ftc_rental_scams_data_spotlight.html,0.676314,0.609458,1040,11.88,384,"[0.05038, -0.073534, -0.032452, 0.126088, 0.005646, 0.1141, -0.001031, 0.068035]",[384],[384],"The share of reports indicating a monetary loss filed by each age group during this period is as follows: 46% (18-29), 23% (30-39), 13% (40-49), 9% (50-59), 6% (60-69), 2% (70-79), less than 1% (80 and over). This excludes reports that did "
token,q5,ftc_rental_scams_data_spotlight.html,4,ftc_rental_listing_scams.html,0.628138,0.554177,1207,11.88,384,"[0.05038, -0.073534, -0.032452, 0.126088, 0.005646, 0.1141, -0.001031, 0.068035]",[384],[384],"Consumer Alerts Visit ftc.gov CFG: Main Navigation Shopping and Donating Show/hide Shopping and Donating menu items Shopping For the Home Health Funerals Buying and Owning a Car Donating to Charity Credit, Loans, and Debt Show/hide Credit, "
token,q5,ftc_rental_scams_data_spotlight.html,5,ftc_rental_scams_data_spotlight.html,0.61142,0.532206,1147,11.88,384,"[0.05038, -0.073534, -0.032452, 0.126088, 0.005646, 0.1141, -0.001031, 0.068035]",[384],[384],"find the same property listed with different prices or contact information, it’s likely a scam. And if you find the home listed for sale instead of for rent, that’s a big red flag. Don’t share personal information too early. Until you’ve ag"
semantic,q1,ftc_rental_listing_scams.html,1,cfpb_tenant_background_market_report.pdf,0.492647,0.448214,15441,8.15,384,"[0.045439, -0.050476, -0.049581, 0.109286, 0.023538, 0.06002, 0.00361, 0.038027]",[384],[384],"Credit Reporting System,” p. 7, https://files.consumerfinance.gov/f/201212_cfpb_credit-reporting-white-paper.pdf; Evan Hendricks, “Credit Scores & Credit Reports. How the System Really Works, What You Can Do,” Privacy Times, 2005; Family Ho"
semantic,q1,ftc_rental_listing_scams.html,2,california_tenants_2026.pdf,0.490047,0.51294,521,8.15,384,"[0.045439, -0.050476, -0.049581, 0.109286, 0.023538, 0.06002, 0.00361, 0.038027]",[384],[384],...................................................................... 41 Obtaining receipts for rent payments .................... 42 Late fees and dishonored check fees ..................... 42 Partial rent payments ......................
semantic,q1,ftc_rental_listing_scams.html,3,ftc_rental_listing_scams.html,0.490016,0.348715,3172,8.15,384,"[0.045439, -0.050476, -0.049581, 0.109286, 0.023538, 0.06002, 0.00361, 0.038027]",[384],[384],"Before you make a move, learn how to spot and avoid fake rental ads. How Rental Scam Ads Work How To Tell Whether a Rental Listing Is Real Protect Your Personal Information and Money Report Problems How Rental Scam Ads Work Rental scams oft"
semantic,q1,ftc_rental_listing_scams.html,4,cfpb_tenant_background_market_report.pdf,0.473662,0.462458,2174,8.15,384,"[0.045439, -0.050476, -0.049581, 0.109286, 0.023538, 0.06002, 0.00361, 0.038027]",[384],[384],"Jan 30, 2019), at p. 4 (FCRA lawsuit filed against AppFolio for failing to provide the intermediary data source). CONSUMER FINANCIAL PROTECTION BUREAU 20 FIGURE 4: TENANT SCREENING ECOSYSTEM: HOW DOES INFORMATION GET INTO A TENANT SCREENING"
semantic,q1,ftc_rental_listing_scams.html,5,cfpb_tenant_background_market_report.pdf,0.468446,0.438148,13289,8.15,384,"[0.045439, -0.050476, -0.049581, 0.109286, 0.023538, 0.06002, 0.00361, 0.038027]",[384],[384],"v. Hamrick, No. 37-2017-00003005-CU-MC-NC (Cal. Super. Ct.), May 26, 2021. See also, Michigan Courts, “Protecting Personal Identifying Information,” https://www.courts.michigan.gov/administration/special-initiatives/protecting- personal-ide"
semantic,q2,california_tenants_2026.pdf,1,california_tenants_2026.pdf,0.70334,0.429559,190,7.88,384,"[0.125766, -0.025051, -0.012115, 0.047433, -0.006981, 0.030006, -0.005548, -0.080366]",[384],[384],"Code § 1950.6. The maximum fee is adjusted each year based on changes in the Consumer Price Index since January 1, 1998. As of December 2023, the maximum allowable fee is $62,02. 55 Civ."
semantic,q2,california_tenants_2026.pdf,2,california_tenants_2026.pdf,0.675447,0.663876,384,7.88,384,"[0.125766, -0.025051, -0.012115, 0.047433, -0.006981, 0.030006, -0.005548, -0.080366]",[384],[384],"392 Civ. Code § 1950.5(k). 393 California Practice Guide, Landlord-Tenant, § 2:810 (Rutter Group 2021). 394 Civ. Code § 1950.5(p) (describes evidence that proves the existence and amount of a security deposit). 395 Civ. Code § 1950.5(o); Co"
semantic,q2,california_tenants_2026.pdf,3,california_tenants_2026.pdf,0.672296,0.547658,521,7.88,384,"[0.125766, -0.025051, -0.012115, 0.047433, -0.006981, 0.030006, -0.005548, -0.080366]",[384],[384],...................................................................... 41 Obtaining receipts for rent payments .................... 42 Late fees and dishonored check fees ..................... 42 Partial rent payments ......................
semantic,q2,california_tenants_2026.pdf,4,california_tenants_2026.pdf,0.62799,0.603451,105,7.88,384,"[0.125766, -0.025051, -0.012115, 0.047433, -0.006981, 0.030006, -0.005548, -0.080366]",[384],[384],Code § 1950.6. 57 California Apartment Association (https://caanet.org/kb/max-screening-fee/). 58 Civ.
