temperature,run,tags,summary,latency_ms
0.7,1,San Jose Rental | Pool House | Family Friendly,"Large backyard, swimming pool, and garage parking near downtown San Jose for families.",2853.3
0.7,2,Luxury Rental | San Jose Housing | Pool House,"Spacious 3 bedroom house in downtown San Jose with pool, AC, garage and large backyard.",2872.65
0.7,3,San Jose Rental | Pool House | Family Friendly,"Spacious 3 bedroom house near downtown San Jose with pool, AC, garage parking, and large backyard",3280.71
0.7,4,San Jose Rental | Pool House | Family Home,"Spacious 3 bedroom house near downtown San Jose with pool, AC, garage parking, and large backyard",3401.48
0.7,5,San Jose Rental | Pool House | 3 Bedroom,"Spacious 3 bedroom house with pool, AC, garage parking near downtown San Jose.",2824.15
0.7,6,San Jose Rental | Pool House | Downtown Area,"Spacious 3 bedroom house with pool, AC, garage parking and large backyard near downtown San Jose.",2964.72
0.7,7,San Jose Rental | Pool House | 3 Bedroom,"Cozy 3 bedroom house with pool, AC, garage parking near downtown San Jose",2919.17
0.7,8,San Jose Rental | Pool House | City Living,Spacious 3 bedroom house near downtown San Jose with pool and garage parking.,2772.64
0.7,9,San Jose Rental | Pool House | 3 Bedroom,"Spacious 3 bedroom house with pool, AC, garage and backyard in downtown San Jose.",2941.37
0.7,10,San Jose Rental | Pool House | Family Friendly,"Spacious 3 bedroom house with pool, AC, garage parking near downtown San Jose",2645.64
0.7,11,San Jose Rental | Swimming Pool House | Downtown San Jose,"Luxurious 3-bedroom rental house with pool, AC, garage parking and large backyard near downtown San Jose.",3404.83
0.7,12,San Jose Rental | Pool Included | 3 Bedroom House,"Spacious 3 bedroom house with pool, AC, garage parking near downtown San Jose.",2978.28
0.7,13,SanJoseRental | PoolHouse | FamilyFriendly,"Spacious 3 bed house in San Jose with pool, AC, garage parking, and large backyard near downtown.",3225.1
0.7,14,San Jose Rental | Swimming Pool House | Family Friendly,"3 bedroom house with pool, AC, garage parking near downtown San Jose",2696.32
0.7,15,San Jose Rental | 3 Bedroom House | Downtown Living,"Spacious 3 bedroom house with pool, AC, garage parking, and large backyard in San Jose near downtown.",3193.64
0.7,16,San Jose Rental | Swimming Pool | Downtown Living,"Cozy 3 bedroom house with pool, AC, garage parking and large backyard near downtown San Jose.",2861.77
0.7,17,San Jose Rental | Pool House | Downtown Living,"Spacious 3 bedroom house with pool, AC, garage parking and backyard near downtown San Jose",3034.2
0.7,18,San Jose Rental | Pool House | Downtown Area,"Large 3 bedroom house with pool, AC, garage parking and backyard in San Jose near downtown.",3574.76
0.7,19,House for Rent | San Jose CA | Pool House,"Cozy 3 bedroom house in San Jose with pool, AC, garage parking, and large backyard near downtown area.",3185.76
0.7,20,San Jose Rental | Pool Access | 3 Bedroom House,"Spacious 3 bedroom house with pool, AC, and garage parking near downtown San Jose.",2854.21
0.0,1,San Jose Rental | Pool House | Family Home,"Spacious 3 bedroom house with pool, AC, garage parking and large backyard near downtown San Jose.",2914.37
0.0,2,San Jose Rental | Pool House | Family Home,"Spacious 3 bedroom house with pool, AC, garage parking and large backyard near downtown San Jose.",2688.89
0.0,3,San Jose Rental | Pool House | Family Home,"Spacious 3 bedroom house with pool, AC, garage parking and large backyard near downtown San Jose.",2707.63
0.0,4,San Jose Rental | Pool House | Family Home,"Spacious 3 bedroom house with pool, AC, garage parking and large backyard near downtown San Jose.",2637.58
0.0,5,San Jose Rental | Pool House | Family Home,"Spacious 3 bedroom house with pool, AC, garage parking and large backyard near downtown San Jose.",2675.51
0.0,6,San Jose Rental | Pool House | Family Home,"Spacious 3 bedroom house with pool, AC, garage parking and large backyard near downtown San Jose.",2665.54
0.0,7,San Jose Rental | Pool House | Family Home,"Spacious 3 bedroom house with pool, AC, garage parking and large backyard near downtown San Jose.",2686.88
0.0,8,San Jose Rental | Pool House | Family Home,"Spacious 3 bedroom house with pool, AC, garage parking and large backyard near downtown San Jose.",2714.76
0.0,9,San Jose Rental | Pool House | Family Home,"Spacious 3 bedroom house with pool, AC, garage parking and large backyard near downtown San Jose.",2999.99
0.0,10,San Jose Rental | Pool House | Family Home,"Spacious 3 bedroom house with pool, AC, garage parking and large backyard near downtown San Jose.",2826.66
0.0,11,San Jose Rental | Pool House | Family Home,"Spacious 3 bedroom house with pool, AC, garage parking and large backyard near downtown San Jose.",2631.89
0.0,12,San Jose Rental | Pool House | Family Home,"Spacious 3 bedroom house with pool, AC, garage parking and large backyard near downtown San Jose.",2722.09
0.0,13,San Jose Rental | Pool House | Family Home,"Spacious 3 bedroom house with pool, AC, garage parking and large backyard near downtown San Jose.",2659.9
0.0,14,San Jose Rental | Pool House | Family Home,"Spacious 3 bedroom house with pool, AC, garage parking and large backyard near downtown San Jose.",2731.4
0.0,15,San Jose Rental | Pool House | Family Home,"Spacious 3 bedroom house with pool, AC, garage parking and large backyard near downtown San Jose.",2759.1
0.0,16,San Jose Rental | Pool House | Family Home,"Spacious 3 bedroom house with pool, AC, garage parking and large backyard near downtown San Jose.",2679.05
0.0,17,San Jose Rental | Pool House | Family Home,"Spacious 3 bedroom house with pool, AC, garage parking and large backyard near downtown San Jose.",2701.48
0.0,18,San Jose Rental | Pool House | Family Home,"Spacious 3 bedroom house with pool, AC, garage parking and large backyard near downtown San Jose.",2679.19
0.0,19,San Jose Rental | Pool House | Family Home,"Spacious 3 bedroom house with pool, AC, garage parking and large backyard near downtown San Jose.",2757.02
0.0,20,San Jose Rental | Pool House | Family Home,"Spacious 3 bedroom house with pool, AC, garage parking and large backyard near downtown San Jose.",3116.13
