experiment,run,ceiling,status,planner_attempts,retries,classification,latency_ms,final_tags,final_summary,validation_errors,model,temperature
ceiling_10,1,10,completed,1,0,valid_first_attempt,2890.01,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_10,2,10,completed,1,0,valid_first_attempt,2924.2,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_10,3,10,completed,1,0,valid_first_attempt,3064.03,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_10,4,10,completed,1,0,valid_first_attempt,3336.19,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_10,5,10,completed,1,0,valid_first_attempt,3148.29,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_10,6,10,completed,1,0,valid_first_attempt,3160.9,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_10,7,10,completed,1,0,valid_first_attempt,3234.8,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_10,8,10,completed,1,0,valid_first_attempt,3359.41,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_10,9,10,completed,1,0,valid_first_attempt,3356.54,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_10,10,10,completed,1,0,valid_first_attempt,3893.82,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_10,11,10,completed,1,0,valid_first_attempt,3511.34,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_10,12,10,completed,1,0,valid_first_attempt,3457.07,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_10,13,10,completed,1,0,valid_first_attempt,3599.98,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_10,14,10,completed,1,0,valid_first_attempt,4818.29,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_10,15,10,completed,1,0,valid_first_attempt,4149.01,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_10,16,10,completed,1,0,valid_first_attempt,4355.42,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_10,17,10,completed,1,0,valid_first_attempt,4288.77,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_10,18,10,completed,1,0,valid_first_attempt,7066.97,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_10,19,10,completed,1,0,valid_first_attempt,4964.32,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
ceiling_10,20,10,completed,1,0,valid_first_attempt,5744.44,"[""San Jose Rental"", ""3 Bedroom House"", ""Pool Access""]",Spacious 3 bedroom rental house near downtown San Jose with garage parking and pool access,[],llama3.2:latest,0.0
